id;kodu;adi;nufus;rakim;googleMaps;openStreetMap;bolge;enlem;boylam;alankod;kiyi;bsehir;alan
60;60;tokat;606934;630;https://goo.gl/maps/NZdDAFbedQgwFHgV8;https://www.openstreetmap.org/relation/223424;karadeniz;4.031.667;36.55;356;False;False;10042
61;61;trabzon;824352;36;https://goo.gl/maps/3MNVGU2vaK4K4pUT6;https://www.openstreetmap.org/relation/223447;karadeniz;41;3.973.333;462;True;True;4628
62;62;tunceli;89317;922;https://goo.gl/maps/4xdfVHREhnbcexoQA;https://www.openstreetmap.org/relation/223537;doðu anadolu;3.911.667;3.953.333;428;False;False;7582
63;63;þanlýurfa;2213964;527;https://goo.gl/maps/HomBJUkX9PrtNk2L6;https://www.openstreetmap.org/relation/223434;güneydoðu anadolu;37.15;38.8;414;False;True;19242
64;64;uþak;377001;915;https://goo.gl/maps/fAhNfzHxWuguCfib7;https://www.openstreetmap.org/relation/223170;ege;3.868.333;2.941.667;276;False;False;5555
65;65;van;1127612;1728;https://goo.gl/maps/HSTpUR2egRhG39M29;https://www.openstreetmap.org/relation/223442;doðu anadolu;38.5;43.4;432;False;True;20921
66;66;yozgat;420699;1317;https://goo.gl/maps/FJbXiqUud8M9tpGp9;https://www.openstreetmap.org/relation/154450;iç anadolu;3.981.667;3.481.667;354;False;False;13690
67;67;zonguldak;591492;10;https://goo.gl/maps/uLQrR9gNqGMRJ4t7A;https://www.openstreetmap.org/relation/223459;karadeniz;41.45;31.Aðu;372;True;False;3342
68;68;aksaray;438504;1228;https://goo.gl/maps/xsGaB46hYrkMkwd8A;https://www.openstreetmap.org/relation/154454;iç anadolu;3.836.667;3.403.333;382;False;False;7659
69;69;bayburt;86047;1555;https://goo.gl/maps/mGqWgVfqQneCzwj36;https://www.openstreetmap.org/relation/223446;karadeniz;40.25;4.021.667;458;False;False;3746
70;70;karaman;263960;1063;https://goo.gl/maps/FWnvmkmDTmfnt3FN7;https://www.openstreetmap.org/relation/223446;iç anadolu;3.718.333;3.321.667;338;False;False;8678
71;71;kýrýkkale;285744;746;https://goo.gl/maps/wrhgZ7eMU9LwfiL46;https://www.openstreetmap.org/relation/223423;iç anadolu;39.85;3.351.667;318;False;False;4791
72;72;batman;647205;570;https://goo.gl/maps/DiyqUr2MEoPWmWjV8;https://www.openstreetmap.org/relation/223437;güneydoðu anadolu;3.788.333;4.113.333;488;False;False;4477
73;73;þýrnak;570745;1343;https://goo.gl/maps/tDwsK4Y4kJZDpp55A;https://www.openstreetmap.org/relation/1751843;güneydoðu anadolu;3.751.667;4.246.667;486;False;False;7078
74;74;bartin;207238;12;https://goo.gl/maps/kEA1uaXRs5h4Ys497;https://www.openstreetmap.org/relation/223458;karadeniz;4.163.333;3.233.333;378;True;False;2330
75;75;ardahan;92819;1799;https://goo.gl/maps/czPjzpGKZMS5hUgm9;https://www.openstreetmap.org/relation/1251450;doðu anadolu;4.110.833;42.7;478;False;False;4934
76;76;ýðdýr;209738;860;https://goo.gl/maps/4sTLXpYBHttBGPsdA;https://www.openstreetmap.org/relation/186434;doðu anadolu;3.991.667;4.403.333;476;False;False;3664
77;77;yalova;304780;8;https://goo.gl/maps/RtzU9F1fuhPVMFsm9;https://www.openstreetmap.org/relation/223472;marmara;40.65;2.926.667;226;True;False;798
78;78;karabük;255242;264;https://goo.gl/maps/QMVjbUBH7Q7XHKcK9;https://www.openstreetmap.org/relation/223455;karadeniz;41.2;3.263.333;370;False;False;4142
79;79;kilis;155179;660;https://goo.gl/maps/4qRGCoNwMNn9BJ8G8;https://www.openstreetmap.org/relation/223140;güneydoðu anadolu;3.671.667;3.711.667;348;False;False;1412
80;80;osmaniye;557666;121;https://goo.gl/maps/UVsA8GVQDsxjUysN9;https://www.openstreetmap.org/relation/167232;akdeniz;3.706.667;36.25;328;False;False;3320
81;81;düzce;409865;149;https://goo.gl/maps/ypKm6p456SRRkSCd8;https://www.openstreetmap.org/relation/223460;karadeniz;4.083.333;3.116.667;380;True;False;2492
